Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_new_Shouldsucceed/Add_new_role/i_account_circle""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:05,2019-10-11 16:16:05,0.074s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_new_Shouldsucceed/Add_new_role/a_assignmentRole And Task""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:05,2019-10-11 16:16:05,0.064s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:05,2019-10-11 16:16:06,1.002s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_new_Shouldsucceed/Add_new_role/i_add""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:06,2019-10-11 16:16:06,0.119s,PASSED
"setText(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_new_Shouldsucceed/Add_new_role/input_Add Role_code""), role_code)",Chrome 77.0.3865.90,,,2019-10-11 16:16:06,2019-10-11 16:16:06,0.122s,PASSED
"setText(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_new_Shouldsucceed/Add_new_role/input_Code_name""), role_name)",Chrome 77.0.3865.90,,,2019-10-11 16:16:06,2019-10-11 16:16:06,0.135s,PASSED
"setText(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_new_Shouldsucceed/Add_new_role/input_Name_description""), role_description)",Chrome 77.0.3865.90,,,2019-10-11 16:16:06,2019-10-11 16:16:06,0.118s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:06,2019-10-11 16:16:07,1.001s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_new_Shouldsucceed/Add_new_role/div_Search_mat-checkbox-inner-container""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:07,2019-10-11 16:16:07,0.099s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:07,2019-10-11 16:16:08,1.002s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_new_Shouldsucceed/Add_new_role/button_Save""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:08,2019-10-11 16:16:08,0.067s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:08,2019-10-11 16:16:09,1.001s,PASSED
"verifyTextPresent(""created successfully"", false)",Chrome 77.0.3865.90,,,2019-10-11 16:16:09,2019-10-11 16:16:10,0.085s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:10,2019-10-11 16:16:11,1.002s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_new_Shouldsucceed/Add_new_role/button_Cancel""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:11,2019-10-11 16:16:11,0.058s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,,2019-10-11 16:16:11,2019-10-11 16:16:11,0.850s,PASSED
,,,,,,,
